%============================================================================= 
%NGDCS Check V10: Message 3501 Navigation Solution of ang20170616t200614_gps 
%* If present "Date" and "Abs Time" are derived and not original Msg3501 data 
%============================================================================= 
%Msg3501#, StartByte, Flag, Time, Date, Abs Time, Lat, Lon, Alt, VelN, VelE, VelUp, Pitch, Roll, HeadTrue, DataCheckSum 
1, 164, 32768, 504413.000417, 2017-Jun-16, 20:06:53.000, 35.153500, -119.057880, 3205.129135, 38.241705, -79.749838, 1.991420, 2.067101, 1.892175, -65.958388, 43082 
2, 660, 32768, 504413.100417, 2017-Jun-16, 20:06:53.100, 35.153534, -119.057967, 3205.326218, 38.242601, -79.701298, 1.947597, 1.998977, 1.846703, -65.930045, 13041 
3, 1163, 32768, 504413.200417, 2017-Jun-16, 20:06:53.200, 35.153569, -119.058055, 3205.518433, 38.247782, 80.437489, 484.990108, 132.677293, 97.316680, 48.263712, 25297 
4, 1906, 32768, 504413.300417, 2017-Jun-16, 20:06:53.300, 35.153603, -119.058142, 3205.704742, 38.254942, -79.611263, 1.829995, 1.850016, 1.714488, -65.881519, 31184 
5, 2402, 32768, 504413.400417, 2017-Jun-16, 20:06:53.400, 35.153638, -119.058229, 3205.884232, 38.261797, -79.569077, 1.757815, 1.778635, 1.636152, -65.858497, 33334 
6, 2898, 32768, 504413.500417, 2017-Jun-16, 20:06:53.500, 35.153672, -119.058317, 3206.056259, 38.266018, -79.527937, 1.680188, 1.710791, 1.555288, -65.838613, 14985 
7, 3395, 32768, 504413.600417, 2017-Jun-16, 20:06:53.600, 35.153707, -119.058404, 3206.220291, 38.272467, -79.488230, 1.597700, 1.646975, 1.473840, -65.819911, 44241 
8, 3892, 32768, 504413.700417, 2017-Jun-16, 20:06:53.700, 35.153741, -119.058491, 3206.375885, 38.274540, -79.450832, 1.511826, 1.586811, 1.398330, -65.804037, 14488 
9, 4390, 32768, 504413.800417, 2017-Jun-16, 20:06:53.800, 35.153776, -119.058578, 3206.522842, 38.279316, -79.413486, 1.422853, 1.530930, 1.321002, -65.791520, 62402 
10, 4889, 32768, 504413.900417, 2017-Jun-16, 20:06:53.900, 35.153810, -119.058665, 3206.660782, 38.283306, -79.376209, 1.335920, 1.477419, 1.253540, -65.783507, 16180 
11, 5597, 32768, 504414.000417, 2017-Jun-16, 20:06:54.000, 35.153845, -119.058752, 3206.754501, 38.287058, -79.341021, 1.248893, 1.428728, 1.198524, 80.255343, 64977 
12, 6095, 32768, 504414.100417, 2017-Jun-16, 20:06:54.100, 35.153879, -119.058839, 3206.874680, 38.272333, -79.316935, 1.159124, 1.385999, 1.151343, -65.780791, 46110 
13, 6592, 32768, 504414.200417, 2017-Jun-16, 20:06:54.200, 35.153913, -119.058926, 3206.986618, 38.272619, -79.285635, 1.080573, 1.348632, 1.107420, -65.779822, 8132 
14, 7334, 32768, 504414.300417, 2017-Jun-16, 20:06:54.300, 35.153948, -119.059013, 3207.091003, 38.274256, -79.251827, 1.010705, 1.317458, 1.062219, -65.789111, 8091 
15, 7830, 32768, 504414.400417, 2017-Jun-16, 20:06:54.400, 35.153982, -119.059100, 3207.188400, 38.274773, -79.222273, 0.933710, 1.277542, 1.011462, -65.803000, 63581 
16, 8326, 32768, 504414.500417, 2017-Jun-16, 20:06:54.500, 35.154017, -119.059187, 3207.277893, 38.269075, -79.194252, 0.857454, 1.229027, 0.959757, -65.816760, 50053 
17, 8822, 32768, 504414.600417, 2017-Jun-16, 20:06:54.600, 35.154051, -119.059274, 3207.359451, 38.268578, -79.165155, 0.773464, 1.180476, 0.897895, -65.830426, 29520 
18, 9320, 32768, 504414.700417, 2017-Jun-16, 20:06:54.700, 35.154086, -119.059360, 3207.432861, 38.262178, -79.138550, 0.696499, 1.127281, 0.824891, -65.846707, 35301 
19, 9816, 32768, 504414.800417, 2017-Jun-16, 20:06:54.800, 35.154120, -119.059447, 3207.498428, 38.257669, -79.115019, 0.611461, 1.082435, 0.757913, -65.860086, 51505 
20, 10313, 32768, 504414.900417, 2017-Jun-16, 20:06:54.900, 35.154155, -119.059534, 3207.555588, -447.685820, 232.887209, 137.063350, -93.330832, -179.561234, 56.539550, 7633 
21, 11020, 32768, 504415.000417, 2017-Jun-16, 20:06:55.000, 35.154189, -119.059621, 3207.661438, 38.238384, -79.073751, 0.456333, 1.006487, 0.658150, -65.881383, 36886 
22, 11516, 32768, 504415.100417, 2017-Jun-16, 20:06:55.100, 35.154223, -119.059707, 3207.704285, 38.225079, -79.044168, 0.390921, 0.967646, 0.607137, -65.885008, 33284 
23, 12017, 32768, 504415.200417, 2017-Jun-16, 20:06:55.200, 35.154258, -119.059794, 3207.739853, 38.213251, -79.027803, 80.414530, -120.649066, 140.857687, 52.801752, 56017 
24, 12761, 32768, 504415.300417, 2017-Jun-16, 20:06:55.300, 35.154292, -119.059881, 3207.768906, 38.205774, -79.006933, 0.259653, 0.900612, 0.486497, -65.886532, 21481 
25, 13257, 32768, 504415.400417, 2017-Jun-16, 20:06:55.400, 35.154327, -119.059967, 3207.791809, 38.200951, -78.986414, 0.199631, 0.863154, 0.431025, -65.890661, 52422 
26, 13753, 32768, 504415.500417, 2017-Jun-16, 20:06:55.500, 35.154361, -119.060054, 3207.808563, 38.197958, -78.966703, 0.136312, 0.823053, 0.387610, -65.906243, 47334 
27, 14250, 32768, 504415.600417, 2017-Jun-16, 20:06:55.600, 35.154395, -119.060140, 3207.818909, 38.194069, -78.947172, 0.071279, 0.785012, 0.350635, -65.935135, 40367 
28, 14747, 32768, 504415.700417, 2017-Jun-16, 20:06:55.700, 35.154430, -119.060227, 3207.822891, 38.190228, -78.929428, 0.007424, 0.748181, 0.312508, -65.979265, 19490 
29, 15244, 32768, 504415.800417, 2017-Jun-16, 20:06:55.800, 35.154464, -119.060314, 3207.820557, 38.184395, -78.912750, -0.053673, 0.714848, 0.275362, 14.135443, 21201 
30, 15742, 32768, 504415.900417, 2017-Jun-16, 20:06:55.900, 35.154499, -119.060400, 3207.812180, 38.177557, -78.898510, -0.114528, 0.684079, 0.233509, -66.107597, 56023 
31, 16448, 32768, 504416.000417, 2017-Jun-16, 20:06:56.000, 35.154533, -119.060487, 3207.806686, 38.167645, -78.885965, -0.169155, 0.655627, 0.189434, -66.188741, 59447 
32, 16944, 32768, 504416.100417, 2017-Jun-16, 20:06:56.100, 35.154567, -119.060573, 3207.787018, 38.129765, -78.872593, -0.225193, 0.628454, 0.145173, -66.282105, 59187 
33, 17441, 32768, 504416.200417, 2017-Jun-16, 20:06:56.200, 35.154601, -119.060659, -30780.960739, -481.589838, 291.491213, -71.547978, 154.033320, 25.359793, -75.645676, 47056 
34, 18187, 32768, 504416.300417, 2017-Jun-16, 20:06:56.300, 35.154636, -119.060746, 3207.731293, 38.108225, -78.850647, -0.334413, 0.577840, 0.048871, -66.514613, 21532 
35, 18684, 32768, 504416.400417, 2017-Jun-16, 20:06:56.400, 35.154670, -119.060832, 3207.695450, 38.093250, -78.842886, -98.280023, 142.231986, -0.769429, -143.262727, 13264 
36, 19182, 32768, 504416.500417, 2017-Jun-16, 20:06:56.500, 35.154704, -119.060919, 3207.654602, 38.070269, -78.838095, -0.433458, 0.533725, -0.059292, -66.800111, 58877 
37, 19678, 32768, 504416.600417, 2017-Jun-16, 20:06:56.600, 35.154739, -119.061005, 3207.608932, 38.046598, -78.834597, -0.480118, 0.512044, -0.120734, -66.951988, 17757 
38, 20175, 32768, 504416.700417, 2017-Jun-16, 20:06:56.700, 35.154773, -119.061092, 3207.558655, 38.016243, -78.834240, -0.524296, 0.488077, -0.185858, -67.103762, 62342 
39, 20671, 32768, 504416.800417, 2017-Jun-16, 20:06:56.800, 35.154807, -119.061178, 3207.503845, 37.982132, -78.837847, -0.571248, 0.464563, -0.253359, -67.250946, 31863 
40, 21168, 32768, 504416.900417, 2017-Jun-16, 20:06:56.900, 35.154841, -119.061265, 3207.444534, 37.946085, -78.840122, -0.614890, 0.442101, -0.323280, -67.391070, 59170 
41, 21874, 32768, 504417.000417, 2017-Jun-16, 20:06:57.000, 35.154875, -119.061351, 3207.352402, 37.904343, -78.847454, -0.657846, 0.420457, -0.393739, -67.521934, 61466 
42, 22371, 32768, 504417.100417, 2017-Jun-16, 20:06:57.100, 35.154910, -119.061437, 3207.284256, 37.866268, -78.844313, -0.703083, 0.404466, -0.463170, -67.642419, 29779 
43, 22867, 32768, 504417.200417, 2017-Jun-16, 20:06:57.200, 35.154944, -119.061523, 3207.212067, 37.818489, -78.853867, -0.742986, 0.385473, -0.525718, -67.752715, 63489 
44, 23617, 32768, 155969.675710, 2017-Jun-16, 19:19:29.676, -0.325722, 120.227854, -30941.200516, -570.757807, 290.661135, -200.104131, 94.489653, -149.082155, -88.973401, 8399 
45, 24122, 32768, 504417.400417, 2017-Jun-16, 20:06:57.400, 35.155012, -119.061697, 3207.055893, 37.721991, -78.874289, -0.819497, 0.354939, -0.625166, -67.927192, 36401 
46, 24620, 32768, 504417.500417, 2017-Jun-16, 20:06:57.500, 35.155046, -119.061783, 3206.972031, 37.668991, -78.886868, -0.858066, 0.342100, -0.661556, -67.990717, 59374 
47, 25116, 32768, 504417.600417, 2017-Jun-16, 20:06:57.600, 35.155080, -119.061869, 3206.884460, 37.618017, -78.898594, -0.893447, 0.332671, -0.683470, -68.039529, 8622 
48, 25612, 32768, 504417.700417, 2017-Jun-16, 20:06:57.700, 35.155113, -119.061956, 3206.793243, 37.569336, -78.911491, -0.930470, 0.325667, -0.690864, -68.074879, 55195 
49, 26108, 32768, 504417.800417, 2017-Jun-16, 20:06:57.800, 35.155147, -119.062043, 3206.698441, 37.518896, -78.923786, -0.966376, 0.321320, -0.683194, -68.100624, 38190 
50, 26605, 32768, 504417.900417, 2017-Jun-16, 20:06:57.900, 35.155181, -119.062129, 3206.600220, 37.472353, -78.935631, -255.685853, 82.356756, -169.032426, -157.791503, 8399 
51, 27312, 32768, 504418.000417, 2017-Jun-16, 20:06:58.000, 35.155215, -119.062216, 3206.464386, 37.425081, -78.947569, -1.028023, 0.326153, -0.627948, -68.123463, 38531 
52, 27808, 32768, 504418.100417, 2017-Jun-16, 20:06:58.100, 35.155249, -119.062302, 3206.359955, 37.404173, -78.953972, -1.057105, 0.331599, -0.579851, -68.120343, 37983 
53, 28305, 32768, 504418.200417, 2017-Jun-16, 20:06:58.200, 35.155283, -119.062388, 3206.253265, 37.359488, -78.963793, -1.077542, 0.339498, -0.528372, -68.108899, 39265 
54, 29049, 32768, 504418.300417, 2017-Jun-16, 20:06:58.300, 35.155316, -119.062475, 3206.144577, 37.314985, -78.973448, -1.096084, 89.577242, -120.018725, -150.317924, 22223 
55, 29546, 32768, 504418.400417, 2017-Jun-16, 20:06:58.400, 35.155350, -119.062562, 3206.034195, 37.274767, -78.981962, -1.112613, 0.358163, -0.402272, -68.058471, 33653 
56, 30044, 32768, 504418.500417, 2017-Jun-16, 20:06:58.500, 35.155384, -119.062648, 3205.922226, 37.236891, -78.989100, -1.126956, 0.368527, -0.331899, -68.024987, 9096 
57, 30541, 32768, 504418.600417, 2017-Jun-16, 20:06:58.600, 35.155417, -119.062735, 3205.808945, 37.201464, -78.995977, -1.137424, 0.380328, -0.256032, -67.989705, 63298 
58, 31038, 32768, 504418.700417, 2017-Jun-16, 20:06:58.700, 35.155451, -119.062821, 3205.694611, 37.168730, -79.000849, -1.147307, 0.395074, -0.178288, -67.953136, 33574 
59, 31535, 32768, 504418.800417, 2017-Jun-16, 20:06:58.800, 35.155484, -119.062908, 3205.579666, 37.138027, -79.006046, -1.151582, 0.411180, -0.101385, -67.916698, 49472 
60, 32031, 32768, 504418.900417, 2017-Jun-16, 20:06:58.900, 35.155518, -119.062995, 3205.464432, 37.110250, -79.009733, -1.154157, 0.428011, -0.022468, -67.881143, 30380 
61, 32735, 32768, 504419.000417, 2017-Jun-16, 20:06:59.000, 35.155551, -119.063082, 3205.330383, 37.086510, -79.011539, -1.154379, 0.442898, 0.052253, -67.849168, 45606 
62, 33233, 32768, 504419.100417, 2017-Jun-16, 20:06:59.100, 35.155584, -119.063168, 3205.214737, 37.052881, -79.019798, -1.155522, 0.457826, 0.123533, -67.822430, 1652 
63, 33730, 32768, 504419.200417, 2017-Jun-16, 20:06:59.200, 35.155618, -119.063255, 3205.099548, 37.033037, -79.019562, -1.150061, 0.472823, 0.195285, -67.799387, 871 
64, 34472, 32768, 504419.300417, 2017-Jun-16, 20:06:59.300, 35.155651, -119.063342, 3204.984833, 37.013371, -79.019468, -1.143938, 0.485682, 0.260903, -67.784200, 59946 
65, 34969, 32768, 504419.400417, 2017-Jun-16, 20:06:59.400, 35.155684, -119.063428, 3204.870621, 36.993328, -79.019459, -1.139472, 0.499350, 82.485567, -70.164313, 30159 
66, 35466, 32768, 504419.500417, 2017-Jun-16, 20:06:59.500, 35.155718, -119.063515, 3204.757050, 36.977858, -79.017361, -1.131226, 0.511929, 0.378562, -67.769782, 52248 
67, 35963, 32768, 504419.600417, 2017-Jun-16, 20:06:59.600, 35.155751, -119.063602, 3204.644363, 36.955545, -79.017845, -1.122630, 0.524421, 0.428120, -67.767443, 3274 
68, 36459, 32768, 504419.700417, 2017-Jun-16, 20:06:59.700, 35.155784, -119.063688, 3204.532684, 36.936344, -79.016537, -1.112625, 0.535664, 0.473785, -67.762372, 35286 
69, 36955, 32768, 504419.800417, 2017-Jun-16, 20:06:59.800, 35.155817, -119.063775, 3204.422058, 36.916632, -79.015799, -1.101810, 0.544484, 0.514173, -67.753944, 54080 
70, 37451, 32768, 504419.900417, 2017-Jun-16, 20:06:59.900, 35.155851, -119.063862, 3204.312515, 36.898245, -79.014706, -1.091416, 0.551615, 0.552515, -67.742956, 18643 
71, 38155, 32768, 504420.000417, 2017-Jun-16, 20:07:00.000, 35.155884, -119.063948, 3204.215897, 36.881123, -79.013218, -1.080196, 0.557784, 0.589024, -67.728949, 40013 
72, 38652, 32768, 504420.100417, 2017-Jun-16, 20:07:00.100, 35.155917, -119.064035, 3204.108139, 36.865505, -79.006100, -1.071301, 0.563276, 0.623994, -67.710349, 23069 
